n,permutation_label,permutation,method,upsilon,wall_seconds,log_file,sha256
17,layered,"1,3,2,7,6,5,4,17,16,15,14,13,12,11,10,9,8",product,3050684475186219300000,0.0000,n17_layered_product.log,8efc0816bbc6a76a7c42516be029c922909ad35c9b0a70e12d564e66cbbd0f3f
17,ustar,"1,3,2,8,6,5,17,4,16,15,14,13,12,11,10,9,7",cotrans,3528445515842977489500,11.4958,n17_ustar_cotrans.log,f35aebc487e6f9cfb0cf296106434d22f15ac4277f554a13fd393df3db1f3343
17,ustar,"1,3,2,8,6,5,17,4,16,15,14,13,12,11,10,9,7",transition,3528445515842977489500,11.5096,n17_ustar_transition.log,3266691217f49b494e4f6610e9ed9146727349d402cd76cf8bbcd732468c3e7a
17,wstar,"1,3,2,7,6,5,17,4,16,15,14,13,12,11,10,9,8",cotrans,3272424600397137120000,13.3074,n17_wstar_cotrans.log,a949db88f0edf8e8bad56e421f621368ed8be87e781890f77f9c5532cffa668d
17,wstar,"1,3,2,7,6,5,17,4,16,15,14,13,12,11,10,9,8",transition,3272424600397137120000,10.1212,n17_wstar_transition.log,c6e587871440d7d5ce3f98366a9f04d9fa1414eb7745abd03a1cd3ec36041aeb
18,counterex,"1,3,2,7,6,5,18,4,17,16,15,14,13,12,11,10,9,8",cotrans,2283744465972732243487500,159.3674,n18_counterex_cotrans.log,b030a60c841aae347434e068d2d23fc3af0350da6a9b0536f691d766e364e2c9
18,counterex,"1,3,2,7,6,5,18,4,17,16,15,14,13,12,11,10,9,8",transition,2283744465972732243487500,185.0638,n18_counterex_transition.log,ee1b9ae7f63999f5855617dfaec5bb77bdc4a33c9d957891f26a67a9b966c433
18,layered,"1,3,2,7,6,5,4,18,17,16,15,14,13,12,11,10,9,8",product,2165183165678219329500000,0.0000,n18_layered_product.log,4298556a0188cb2d4d46a6e17d0bd799e206f1d4339cdf332296d52ce693350d
19,counterex,"1,3,2,8,7,6,5,19,4,18,17,16,15,14,13,12,11,10,9",cotrans,2635009155895571409093282000,594.0444,n19_counterex_cotrans.log,43b005c66b5f903c1a14f5a5c2258a653f888d48531cce72f5876fa43a9782c4
19,counterex,"1,3,2,8,7,6,5,19,4,18,17,16,15,14,13,12,11,10,9",transition,2635009155895571409093282000,304.2192,n19_counterex_transition_big.log,860b45ba9c05f8bbf8848f76b3f82fcab3e146b0317a766cb720279303871d5b
19,layered,"1,3,2,8,7,6,5,4,19,18,17,16,15,14,13,12,11,10,9",product,2407690914026907331933110000,0.0000,n19_layered_product.log,dc89cfeedc286ca4ff5538ba83ddc3d004dc884d53e1acef93c8ea8d3b2ebf8d
20,counterex,"1,3,2,8,7,6,5,20,4,19,18,17,16,15,14,13,12,11,10,9",cotrans,4432622773682098875213559764000,3653.3014,n20_counterex_cotrans.log,09ce0d13d549d958670e6bc8c55277614685f717832d97b27daa0c694e2c37be
20,counterex,"1,3,2,8,7,6,5,20,4,19,18,17,16,15,14,13,12,11,10,9",transition,4432622773682098875213559764000,1438.6807,n20_counterex_transition_big.log,2ce18e36733be34b7b25adfe0202042af8d2088cb2530af300527e425fb9e298
20,layered,"1,3,2,8,7,6,5,4,20,19,18,17,16,15,14,13,12,11,10,9",product,4107026814014206081132873740000,0.0000,n20_layered_product.log,7477b8920a7f00d469dddfa7142fbedbbbe411b60488a79db57b9fedce3028b4
21,layered,"1,3,2,8,7,6,5,4,21,20,19,18,17,16,15,14,13,12,11,10,9",product,8485219435686617197311973864200000,0.0000,n21_layered_product.log,553f556d6ae5e80a837a715b3352bc54d5edf2500f45be7e838a2302ee40ebcb
